happiness_id,country_id,year_id,Happiness_Score,Life_Satisfaction,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Public_Trust,Mental_Health_Index,Work_Life_Balance,Climate_Index
1,5,2022,4.39,8.88,0.53,71.11,0.41,-0.05,0.83,0.34,76.44,8.59,62.75
2,19,2015,5.49,5.03,0.93,63.14,0.89,0.04,0.84,0.72,53.38,8.76,53.11
3,3,2009,4.65,5.22,0.03,62.36,0.01,0.16,0.59,0.23,82.4,6.06,33.3
4,6,2019,5.2,5.69,0.77,78.94,0.98,0.25,0.63,0.68,46.87,6.36,90.59
5,5,2022,7.28,6.33,0.05,50.33,0.62,0.18,0.92,0.5,60.38,3.0,59.33
6,16,2006,6.42,7.49,0.04,77.93,0.15,0.13,0.93,0.09,86.39,7.03,77.96
7,7,2015,7.41,5.76,0.43,70.0,0.05,0.11,0.66,0.39,89.86,4.27,40.71
8,5,2017,4.02,4.52,0.06,84.51,0.54,0.15,0.01,0.87,60.71,3.77,88.03
9,3,2008,7.37,7.65,0.79,70.63,0.23,0.1,0.1,0.99,52.4,4.83,87.69
10,6,2011,3.3,7.97,0.53,51.94,0.3,0.18,0.86,0.37,97.49,6.99,63.75
11,19,2015,7.44,5.24,0.03,51.77,0.25,0.42,0.08,0.05,85.66,5.62,77.05
12,3,2008,4.65,4.68,0.04,80.91,0.65,0.24,0.21,0.13,88.42,5.09,66.5
13,3,2019,4.57,6.64,0.61,79.44,0.55,0.31,0.23,0.79,53.37,7.36,68.66
14,7,2005,5.56,5.04,0.81,62.11,0.08,0.22,0.6,0.66,65.47,7.88,92.22
15,8,2007,7.7,5.87,0.44,71.63,0.53,0.25,0.58,0.29,44.09,8.22,97.68
16,6,2018,3.24,7.89,0.55,67.14,0.79,0.2,0.29,0.39,46.56,5.67,55.72
17,4,2010,4.76,5.1,0.8,83.85,0.08,-0.18,0.21,0.81,53.26,7.31,53.22
18,3,2022,7.28,8.03,0.61,83.25,0.89,0.5,0.76,0.41,58.19,8.31,51.27
19,8,2005,4.98,7.37,0.22,84.43,0.58,-0.18,0.94,0.76,99.83,8.45,83.95
20,4,2010,4.0,5.1,0.61,80.33,0.95,0.08,0.05,0.3,65.33,5.95,80.6
21,6,2010,5.12,6.63,0.63,81.83,0.15,-0.13,0.13,0.72,81.87,5.13,33.07
22,20,2020,4.93,7.07,0.73,57.6,0.99,-0.13,0.64,0.47,94.27,8.4,36.19
23,16,2009,7.58,5.0,0.62,79.09,0.64,0.36,0.8,0.55,54.76,4.57,75.23
24,8,2021,6.81,4.72,0.97,74.81,0.57,0.1,0.79,0.6,48.68,7.78,49.25
25,1,2014,5.53,6.66,0.2,83.7,0.52,0.36,0.72,0.45,54.6,8.45,36.41
26,20,2022,7.94,7.47,0.95,69.99,0.02,-0.01,0.89,0.47,92.95,7.44,58.96
27,16,2011,5.33,6.33,0.54,52.98,0.94,-0.02,0.22,0.27,79.94,7.08,91.42
28,7,2007,3.29,4.35,0.67,70.91,0.64,-0.02,0.11,0.99,67.08,3.3,55.64
29,5,2017,4.31,8.63,0.1,74.03,0.09,0.23,0.62,0.91,89.22,4.22,78.69
30,19,2019,5.18,7.47,0.38,57.71,0.02,0.37,0.82,0.53,54.2,7.0,93.04
31,1,2024,3.78,7.11,0.77,63.79,0.05,0.12,0.58,0.03,54.35,7.71,41.85
32,7,2023,7.74,7.22,0.71,70.95,0.61,0.07,0.96,0.17,74.03,3.38,72.68
33,6,2007,6.83,5.99,0.04,63.09,0.61,0.48,0.8,0.85,87.4,3.11,93.54
34,7,2008,4.34,8.92,0.55,63.12,0.5,-0.12,0.7,0.93,55.57,4.87,43.54
35,5,2009,5.95,4.66,0.09,54.66,0.31,0.14,0.06,0.16,52.6,6.87,99.21
36,6,2005,6.61,7.7,1.0,82.93,0.53,0.09,0.11,0.73,68.44,6.07,55.56
37,1,2008,7.71,6.1,0.9,76.27,0.52,-0.13,0.78,0.62,48.05,3.05,45.23
38,5,2016,7.41,8.41,0.02,50.04,0.02,-0.01,0.2,0.3,84.87,3.91,88.65
39,4,2014,5.58,7.59,0.86,76.8,0.28,-0.18,0.03,0.44,74.64,7.51,62.75
40,19,2024,6.87,6.81,0.92,75.89,0.05,0.41,0.91,0.68,70.75,4.79,76.95
41,1,2017,5.81,8.69,0.35,50.34,0.9,0.23,0.89,0.1,92.34,3.7,64.27
42,4,2018,5.76,8.56,0.72,62.94,0.73,0.37,0.22,0.19,83.95,3.31,75.05
43,16,2009,3.57,4.26,0.44,71.24,1.0,0.17,0.78,0.03,48.96,8.1,32.48
44,1,2008,3.63,4.96,0.66,65.85,0.3,0.22,0.05,0.9,65.23,5.83,54.51
45,16,2018,5.65,7.38,0.34,77.23,0.88,0.29,0.29,0.57,59.28,6.02,76.01
46,6,2014,4.34,8.61,0.32,64.89,0.6,0.44,0.62,0.52,88.12,3.37,54.55
47,4,2021,3.11,6.15,0.42,55.39,0.45,-0.14,0.76,0.71,83.14,5.93,84.3
48,19,2014,6.61,4.19,0.15,84.17,0.22,0.03,0.01,0.99,68.32,6.87,97.26
49,5,2011,3.16,7.22,0.83,58.47,0.74,0.3,0.33,0.17,89.42,3.74,32.62
50,3,2020,5.98,4.97,0.35,75.12,0.9,0.47,0.21,0.13,64.6,8.42,89.87
51,7,2005,5.7,6.76,0.4,55.01,0.24,0.49,1.0,0.29,88.21,7.7,41.83
52,20,2021,7.84,5.92,0.89,61.52,0.18,0.25,0.67,0.9,41.92,7.81,94.21
53,19,2013,5.42,6.79,0.5,65.47,0.7,-0.06,0.41,0.41,48.08,6.22,96.28
54,4,2010,3.32,8.66,0.54,56.73,0.98,-0.12,0.08,0.79,85.36,5.0,69.84
55,3,2023,5.76,6.43,0.96,65.75,0.75,0.46,0.6,0.2,46.86,6.84,63.53
56,19,2017,7.21,4.17,0.89,55.5,0.28,0.1,0.64,0.49,81.03,4.35,83.09
