social_id,country_id,year_id,gdp_per_capita,population,urbanization_rate,education_index,unemployment_rate,employment_rate,income_inequality,public_health_expenditure,internet_access,crime_rate,political_stability
1,5,2022,44984.68,1311940760,78.71,0.52,14.98,61.38,46.06,8.92,74.4,70.3,0.29
2,19,2015,30814.59,1194240877,50.87,0.83,19.46,80.18,46.43,4.43,91.74,73.32,0.76
3,3,2009,39214.84,731100898,48.75,0.95,16.68,72.65,31.03,3.78,71.8,28.99,0.94
4,6,2019,30655.75,1293957314,81.78,0.7,2.64,55.14,57.65,4.43,86.16,45.76,0.48
5,5,2022,30016.87,1432971455,82.39,0.92,7.7,51.55,28.54,7.66,71.1,65.67,0.12
6,16,2006,11135.56,975963845,53.91,0.51,2.51,51.18,34.97,6.2,77.1,46.82,0.62
7,7,2015,17444.11,568457305,30.54,0.89,2.72,70.21,31.35,2.86,71.23,54.93,0.34
8,5,2017,10372.31,527573191,41.19,0.53,3.43,87.83,57.24,3.1,71.65,74.6,0.42
9,3,2008,12544.31,144610807,84.56,0.92,6.97,77.53,53.13,5.03,80.66,30.67,0.15
10,6,2011,58405.67,365138939,83.92,0.94,7.48,88.86,52.45,4.71,61.79,47.76,0.63
11,19,2015,10033.69,111436084,57.2,0.89,9.21,65.33,20.19,8.81,89.72,49.45,0.79
12,3,2008,16886.96,423285328,48.25,0.91,9.29,56.74,47.44,6.58,87.49,35.17,0.77
13,3,2019,35844.79,813552507,48.16,0.78,15.89,88.54,29.21,3.49,79.89,35.78,0.99
14,7,2005,37000.54,302210118,83.83,0.63,4.55,84.94,58.71,2.23,80.89,63.83,0.21
15,8,2007,10084.47,1254040849,49.48,0.82,4.84,78.28,41.23,2.82,62.73,75.07,0.91
16,6,2018,47829.33,1008228905,60.69,0.72,13.28,92.61,42.59,7.6,85.79,54.36,0.73
17,4,2010,47326.97,1464366535,73.86,0.5,12.29,80.27,34.26,8.78,91.29,44.16,0.71
18,3,2022,15001.74,1212848076,42.57,0.74,4.77,75.24,41.47,8.26,83.73,62.53,0.68
19,8,2005,18031.31,1247854512,45.23,0.83,17.34,74.11,49.99,8.32,47.32,79.85,0.54
20,4,2010,56341.28,758403683,51.48,0.51,7.92,79.63,42.48,4.09,83.26,15.77,0.38
21,6,2010,49714.62,1462842921,69.25,0.81,8.61,74.8,45.65,9.91,65.55,55.61,0.94
22,20,2020,42170.02,1166808413,79.05,0.83,9.57,63.09,38.9,2.69,73.48,48.93,0.15
23,16,2009,5851.76,545020280,62.8,0.58,7.81,95.79,48.66,8.57,94.51,52.72,0.18
24,8,2021,25677.58,733579967,37.98,0.72,12.03,95.99,55.98,2.77,59.76,11.6,0.02
25,1,2014,33998.81,1010014055,56.77,0.98,9.0,58.01,22.04,4.14,59.17,76.9,0.74
26,20,2022,12057.27,492624841,37.66,0.94,6.67,75.47,24.29,5.96,54.47,15.98,0.89
27,16,2011,27445.37,985905804,35.3,0.71,18.28,87.9,47.42,2.43,46.99,31.52,0.19
28,7,2007,36460.53,1231982778,65.38,0.67,7.55,52.63,35.11,5.15,49.25,30.88,0.03
29,5,2017,20315.22,655773855,87.37,0.56,14.57,55.93,31.26,4.8,68.28,61.32,0.24
30,19,2019,47075.74,763875261,80.26,0.52,8.25,76.15,27.14,7.18,90.04,56.97,0.88
31,1,2024,50586.53,92131433,76.47,0.65,9.83,51.36,42.91,7.74,84.54,14.32,0.02
32,7,2023,20092.96,1057378292,73.62,0.97,6.25,89.98,33.9,2.72,50.04,20.48,0.1
33,6,2007,50480.77,753290018,83.83,0.98,15.54,91.91,40.32,2.3,70.89,32.31,0.02
34,7,2008,7111.02,1216608852,75.17,0.91,15.27,85.34,58.34,8.21,86.58,59.29,0.94
35,5,2009,50426.02,388475337,67.61,0.68,2.4,89.47,50.33,6.22,69.67,75.05,0.14
36,6,2005,10012.28,408424229,51.88,0.57,3.08,82.24,51.84,6.28,90.13,32.08,0.9
37,1,2008,5892.7,1416540106,36.06,0.8,18.6,56.81,24.97,9.85,89.93,46.79,0.47
38,5,2016,38864.75,421151087,57.66,0.82,18.0,51.43,33.0,5.5,59.15,36.08,0.39
39,4,2014,28844.3,547099715,85.49,0.71,11.11,90.71,24.25,3.57,88.07,50.41,0.43
40,19,2024,54565.55,1355987683,64.99,0.85,10.88,83.94,58.74,7.45,72.18,53.96,0.42
41,1,2017,22428.16,689152127,41.07,0.87,16.62,69.13,47.29,8.53,66.39,46.28,0.34
42,4,2018,17941.98,1303897329,68.94,0.89,4.49,88.25,20.77,6.02,82.58,37.23,0.81
43,16,2009,30543.36,1123382342,57.93,0.75,13.77,52.56,39.02,7.53,83.43,71.58,0.51
44,1,2008,27900.82,370530122,85.88,0.9,10.57,65.32,30.54,6.11,77.15,66.13,0.99
45,16,2018,21321.25,257800348,39.66,0.51,15.38,66.41,41.6,5.26,84.6,79.89,0.52
46,6,2014,41930.74,1144812996,72.72,0.84,2.54,55.03,27.15,2.27,92.33,38.89,0.82
47,4,2021,45814.15,1291324562,70.9,0.62,12.67,85.6,22.27,3.39,88.02,12.71,0.75
48,19,2014,51326.05,792021042,89.01,0.64,12.02,87.32,32.93,5.84,44.08,55.6,0.4
49,5,2011,58398.54,1340600676,63.89,0.55,17.14,77.99,31.82,5.17,86.75,64.84,0.79
50,3,2020,16732.72,592950091,82.29,0.6,14.18,70.06,48.68,8.74,82.98,75.57,0.15
51,7,2005,43249.52,688207797,31.48,1.0,17.84,79.14,38.98,2.87,90.97,10.73,0.2
